institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"FBS BANKIERS N.V.",8870,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8870",9354,"Free Provision of Services by EU Credit Institutions",2004-02-04,"Active",,,,,,,,"Holanda",,,,
"HSBC FRANCE",8830,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8830",9318,"Free Provision of Services by EU Credit Institutions",2002-09-27,"Active",,,,,,,,"França",,,,
"THE ROYAL BANK OF SCOTLAND PLC",8636,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8636",9127,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"SOCIÉTÉ GÉNÉRALE BANK & TRUST",8878,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8878",9360,"Free Provision of Services by EU Credit Institutions",2004-05-13,"Active",,,,,,,,"Luxemburgo",,,,
"SAFECHARGE LIMITED",10106,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10106",7640,"Free Provision of Services by EU Electronic Money Institutions",2015-01-14,"Active",,,,,,,,"Chipre",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DO NOROESTE, CRL",9659,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9659",1420,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1994-12-16,"Active","PRACETA DR. FRANCISCO SÁ CARNEIRO","4750-297 BARCELOS","BARCELOS",,,"4750-297 BARCELOS",,,28515900.00,28515900.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+NOROESTE%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+NOROESTE%2c+CRL"
"SWFX LIMITED",9223,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9223",8821,"Free Provision of Services by EU Payment Institutions",2011-04-20,"Active",,,,,,,,"Reino Unido",,,,
"ÖSTERREICHISCHE VOLKSBANKEN AG",8891,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8891",9372,"Free Provision of Services by EU Credit Institutions",2004-08-27,"Active",,,,,,,,"Áustria",,,,
"CONOTOXIA SP. Z O.O.",10162,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10162",9822,"Free Provision of Services by EU Payment Institutions",2015-06-03,"Active",,,,,,,,"Polónia",,,,
"BARCLAYS BANK, PLC",9903,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9903",32,"Branches of Credit Institutions with Head Office in the EU",1985-10-22,"Active","AVENIDA DO COLÉGIO MILITAR, 37 F, 13.º ANDAR, TORRE ORIENTE","1500-180, LISBOA","LISBOA","BARCLAYS BANK PLC","1 CHURCHILL PLACE,  LONDON E 14 5HP","1500-180, LISBOA","LONDON","Reino Unido",,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BARCLAYS+BANK%2c+PLC","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BARCLAYS+BANK%2c+PLC"
